指数名称,当前点数,当前价格,涨跌率,成交量（手）,成交额（万元）,日期,时间
上证指数,3072.3748,-9.8568,-0.32,1172496,14753104,20180502,14:31:56
上证指数,3071.9815,-10.2501,-0.33,1172796,14756642,20180502,14:32:01
上证指数,3072.3956,-9.8360,-0.32,1173405,14764218,20180502,14:32:06
上证指数,3072.2617,-9.9699,-0.32,1173743,14768655,20180502,14:32:11
上证指数,3071.9907,-10.2409,-0.33,1174120,14773923,20180502,14:32:16
上证指数,3072.1851,-10.0465,-0.33,1174395,14776974,20180502,14:32:21
上证指数,3072.1851,-10.0465,-0.33,1174395,14776974,20180502,14:32:26
上证指数,3072.0547,-10.1769,-0.33,1174739,14781145,20180502,14:32:31
上证指数,3072.8938,-9.3378,-0.30,1175511,14791360,20180502,14:32:36
上证指数,3072.6115,-9.6201,-0.31,1175948,14796739,20180502,14:32:41
上证指数,3072.6115,-9.6201,-0.31,1175948,14796739,20180502,14:32:46
上证指数,3072.1159,-10.1157,-0.33,1176695,14806363,20180502,14:32:51
上证指数,3072.1159,-10.1157,-0.33,1176695,14806363,20180502,14:32:56
上证指数,3072.7281,-9.5035,-0.31,1177342,14814843,20180502,14:33:01
上证指数,3072.3856,-9.8460,-0.32,1177744,14820114,20180502,14:33:06
上证指数,3072.6138,-9.6178,-0.31,1178056,14823991,20180502,14:33:11
上证指数,3073.4461,-8.7855,-0.29,1178367,14827844,20180502,14:33:16
上证指数,3073.4627,-8.7689,-0.28,1178777,14833223,20180502,14:33:21
上证指数,3072.8986,-9.3330,-0.30,1179243,14838148,20180502,14:33:26
上证指数,3072.8986,-9.3330,-0.30,1179243,14838148,20180502,14:33:31
上证指数,3073.4714,-8.7602,-0.28,1180201,14849795,20180502,14:33:36
上证指数,3073.1882,-9.0434,-0.29,1180609,14855105,20180502,14:33:41
上证指数,3073.1882,-9.0434,-0.29,1180609,14855105,20180502,14:33:46
上证指数,3073.9969,-8.2347,-0.27,1181518,14865910,20180502,14:33:52
上证指数,3073.9969,-8.2347,-0.27,1181518,14865910,20180502,14:33:57
上证指数,3073.3389,-8.8927,-0.29,1181797,14869504,20180502,14:34:02
上证指数,3073.7362,-8.4954,-0.28,1182754,14880846,20180502,14:34:07
上证指数,3074.8091,-7.4225,-0.24,1183032,14884271,20180502,14:34:12
上证指数,3074.2459,-7.9857,-0.26,1183435,14889347,20180502,14:34:17
上证指数,3074.0766,-8.1550,-0.26,1183761,14893918,20180502,14:34:22
上证指数,3074.0245,-8.2071,-0.27,1184053,14897454,20180502,14:34:27
上证指数,3074.3621,-7.8695,-0.26,1184425,14901889,20180502,14:34:32
上证指数,3074.7626,-7.4690,-0.24,1184855,14907239,20180502,14:34:37
上证指数,3074.3067,-7.9249,-0.26,1185232,14911539,20180502,14:34:42
上证指数,3074.6289,-7.6027,-0.25,1185585,14915990,20180502,14:34:47
上证指数,3074.1868,-8.0448,-0.26,1185985,14920948,20180502,14:34:52
上证指数,3073.9816,-8.2500,-0.27,1186362,14925317,20180502,14:34:57
上证指数,3074.2139,-8.0177,-0.26,1186803,14930346,20180502,14:35:02
上证指数,3074.5825,-7.6491,-0.25,1187142,14934470,20180502,14:35:07
上证指数,3074.3187,-7.9129,-0.26,1187534,14938860,20180502,14:35:12
上证指数,3074.6800,-7.5516,-0.25,1187950,14944046,20180502,14:35:17
上证指数,3074.4482,-7.7834,-0.25,1188377,14949238,20180502,14:35:22
上证指数,3074.6471,-7.5845,-0.25,1188738,14953493,20180502,14:35:27
上证指数,3074.2142,-8.0174,-0.26,1189129,14958235,20180502,14:35:32
