指数名称,当前点数,当前价格,涨跌率,成交量（手）,成交额（万元）,日期,时间
深证成指,10310.16,-14.307,-0.14,139933619,18976936,20180502,14:31:56
深证成指,10309.65,-14.822,-0.14,139977213,18982979,20180502,14:32:01
深证成指,10310.35,-14.116,-0.14,140019638,18988493,20180502,14:32:06
深证成指,10311.93,-12.540,-0.12,140068393,18994939,20180502,14:32:11
深证成指,10311.57,-12.894,-0.12,140093281,18998318,20180502,14:32:16
深证成指,10310.97,-13.502,-0.13,140139921,19004514,20180502,14:32:21
深证成指,10311.59,-12.878,-0.12,140166975,19007979,20180502,14:32:26
深证成指,10310.89,-13.577,-0.13,140211605,19014305,20180502,14:32:31
深证成指,10311.35,-13.115,-0.13,140258275,19020320,20180502,14:32:36
深证成指,10311.21,-13.255,-0.13,140306802,19027202,20180502,14:32:41
深证成指,10312.14,-12.332,-0.12,140360453,19034280,20180502,14:32:46
深证成指,10311.77,-12.702,-0.12,140387666,19037887,20180502,14:32:51
深证成指,10312.78,-11.689,-0.11,140416371,19041721,20180502,14:32:56
深证成指,10312.72,-11.750,-0.11,140508950,19053640,20180502,14:33:01
深证成指,10314.15,-10.314,-0.10,140535982,19057464,20180502,14:33:06
深证成指,10313.99,-10.476,-0.10,140593673,19065435,20180502,14:33:11
深证成指,10314.02,-10.451,-0.10,140644814,19072765,20180502,14:33:16
深证成指,10314.45,-10.020,-0.10,140671039,19076331,20180502,14:33:21
深证成指,10314.23,-10.240,-0.10,140724093,19083433,20180502,14:33:26
深证成指,10314.91,-9.557,-0.09,140745641,19086560,20180502,14:33:31
深证成指,10314.55,-9.916,-0.10,140793928,19093528,20180502,14:33:36
深证成指,10314.69,-9.775,-0.09,140850980,19100871,20180502,14:33:41
深证成指,10315.11,-9.354,-0.09,140911965,19109557,20180502,14:33:46
深证成指,10315.75,-8.715,-0.08,140939710,19113523,20180502,14:33:51
深证成指,10316.76,-7.707,-0.07,140991439,19120884,20180502,14:33:57
深证成指,10317.40,-7.064,-0.07,141040236,19127726,20180502,14:34:02
深证成指,10317.35,-7.121,-0.07,141074034,19131709,20180502,14:34:07
深证成指,10318.01,-6.459,-0.06,141141620,19139668,20180502,14:34:12
深证成指,10317.16,-7.308,-0.07,141201742,19147587,20180502,14:34:17
深证成指,10317.54,-6.927,-0.07,141230620,19151530,20180502,14:34:22
深证成指,10317.43,-7.042,-0.07,141258709,19155196,20180502,14:34:27
深证成指,10318.44,-6.026,-0.06,141339494,19166309,20180502,14:34:32
深证成指,10320.07,-4.402,-0.04,141365073,19170258,20180502,14:34:37
深证成指,10318.71,-5.756,-0.06,141417688,19177688,20180502,14:34:42
深证成指,10318.68,-5.789,-0.06,141483273,19186352,20180502,14:34:47
深证成指,10319.42,-5.043,-0.05,141511845,19190107,20180502,14:34:52
深证成指,10321.06,-3.407,-0.03,141581431,19198188,20180502,14:34:57
深证成指,10320.89,-3.576,-0.03,141644618,19206580,20180502,14:35:02
深证成指,10321.18,-3.285,-0.03,141675477,19210552,20180502,14:35:07
深证成指,10321.88,-2.586,-0.03,141746358,19219516,20180502,14:35:12
深证成指,10323.00,-1.471,-0.01,141814711,19227830,20180502,14:35:17
深证成指,10322.33,-2.136,-0.02,141846680,19231998,20180502,14:35:22
深证成指,10322.57,-1.901,-0.02,141909935,19240350,20180502,14:35:27
深证成指,10322.63,-1.838,-0.02,141969935,19248356,20180502,14:35:32
深证成指,10322.52,-1.950,-0.02,141998131,19252580,20180502,14:35:37
深证成指,10322.41,-2.062,-0.02,142063828,19260934,20180502,14:35:42
深证成指,10323.31,-1.161,-0.01,142129153,19269612,20180502,14:35:47
深证成指,10322.62,-1.846,-0.02,142164744,19273831,20180502,14:35:52
深证成指,10324.00,-0.464,-0.00,142224694,19282403,20180502,14:35:57
深证成指,10323.98,-0.489,-0.00,142280267,19289951,20180502,14:36:02
深证成指,10323.77,-0.700,-0.01,142306055,19293053,20180502,14:36:07
深证成指,10324.76,0.295,0.00,142364842,19300683,20180502,14:36:12
深证成指,10324.19,-0.275,-0.00,142421299,19308022,20180502,14:36:17
深证成指,10323.94,-0.531,-0.01,142447749,19312030,20180502,14:36:22
深证成指,10324.34,-0.129,-0.00,142493226,19318495,20180502,14:36:27
深证成指,10324.46,-0.011,-0.00,142551741,19326416,20180502,14:36:32
深证成指,10324.70,0.231,0.00,142572534,19329368,20180502,14:36:37
深证成指,10325.01,0.538,0.01,142627175,19336492,20180502,14:36:42
深证成指,10324.70,0.230,0.00,142683127,19343475,20180502,14:36:47
深证成指,10324.84,0.376,0.00,142726382,19349928,20180502,14:36:52
深证成指,10324.07,-0.396,-0.00,142752720,19353431,20180502,14:36:57
深证成指,10324.11,-0.361,-0.00,142808086,19360640,20180502,14:37:02
深证成指,10325.48,1.013,0.01,142867132,19367795,20180502,14:37:07
深证成指,10325.59,1.123,0.01,142892271,19371473,20180502,14:37:12
深证成指,10325.26,0.791,0.01,142939702,19377983,20180502,14:37:17
深证成指,10325.41,0.938,0.01,142992779,19384861,20180502,14:37:23
深证成指,10324.80,0.334,0.00,143017256,19388231,20180502,14:37:28
深证成指,10325.51,1.044,0.01,143063968,19394852,20180502,14:37:33
深证成指,10326.31,1.840,0.02,143123108,19402002,20180502,14:37:38
深证成指,10325.28,0.816,0.01,143155954,19406250,20180502,14:37:43
深证成指,10326.10,1.633,0.02,143210380,19413613,20180502,14:37:48
深证成指,10325.57,1.098,0.01,143259718,19419684,20180502,14:37:53
深证成指,10326.10,1.636,0.02,143287392,19423140,20180502,14:37:58
深证成指,10325.03,0.566,0.01,143342973,19430177,20180502,14:38:03
深证成指,10325.12,0.649,0.01,143388818,19436336,20180502,14:38:08
深证成指,10324.74,0.274,0.00,143419287,19440445,20180502,14:38:13
深证成指,10324.99,0.521,0.01,143480919,19448009,20180502,14:38:18
深证成指,10324.83,0.359,0.00,143536907,19454856,20180502,14:38:23
深证成指,10324.87,0.398,0.00,143566612,19458489,20180502,14:38:28
深证成指,10325.40,0.936,0.01,143615062,19464897,20180502,14:38:33
深证成指,10326.21,1.747,0.02,143673185,19472339,20180502,14:38:38
深证成指,10325.42,0.952,0.01,143702640,19475996,20180502,14:38:43
深证成指,10325.38,0.908,0.01,143751689,19482699,20180502,14:38:48
深证成指,10325.77,1.306,0.01,143806861,19489713,20180502,14:38:53
深证成指,10325.67,1.198,0.01,143837594,19494070,20180502,14:38:58
深证成指,10325.58,1.113,0.01,143893993,19501820,20180502,14:39:03
深证成指,10326.09,1.622,0.02,143946167,19508562,20180502,14:39:08
深证成指,10325.28,0.816,0.01,143971571,19511788,20180502,14:39:13
深证成指,10325.66,1.190,0.01,144036319,19519235,20180502,14:39:18
深证成指,10325.99,1.519,0.01,144090541,19525957,20180502,14:39:23
深证成指,10325.27,0.798,0.01,144119566,19529352,20180502,14:39:28
深证成指,10325.02,0.556,0.01,144166640,19535972,20180502,14:39:33
深证成指,10324.91,0.442,0.00,144218940,19542765,20180502,14:39:38
深证成指,10324.46,-0.012,-0.00,144246450,19546295,20180502,14:39:43
深证成指,10324.59,0.122,0.00,144298274,19552954,20180502,14:39:48
深证成指,10324.97,0.502,0.00,144345755,19559157,20180502,14:39:53
深证成指,10324.42,-0.043,-0.00,144376363,19563238,20180502,14:39:58
深证成指,10324.34,-0.123,-0.00,144425425,19569824,20180502,14:40:03
深证成指,10324.96,0.495,0.00,144482991,19577537,20180502,14:40:08
深证成指,10325.51,1.039,0.01,144508969,19580654,20180502,14:40:13
深证成指,10324.47,0.000,0.00,144559997,19587681,20180502,14:40:18
深证成指,10324.51,0.038,0.00,144620349,19595686,20180502,14:40:23
深证成指,10324.18,-0.292,-0.00,144667705,19602156,20180502,14:40:28
深证成指,10323.36,-1.107,-0.01,144700609,19605685,20180502,14:40:33
深证成指,10324.35,-0.113,-0.00,144747056,19611881,20180502,14:40:38
深证成指,10323.50,-0.973,-0.01,144774788,19615771,20180502,14:40:43
深证成指,10324.21,-0.260,-0.00,144834928,19623421,20180502,14:40:48
深证成指,10323.39,-1.073,-0.01,144892256,19631249,20180502,14:40:53
深证成指,10323.76,-0.712,-0.01,144950225,19639177,20180502,14:40:59
深证成指,10324.31,-0.154,-0.00,144977017,19642961,20180502,14:41:04
深证成指,10323.54,-0.932,-0.01,145035028,19650374,20180502,14:41:09
深证成指,10323.14,-1.328,-0.01,145060519,19653990,20180502,14:41:14
